Unnamed: 0,name,subscribers,view_count,view_mean,video_count,category,youtube_since,view_ratio,coef_subscribers_viewmean
0,T-Series,242000000,224020601249,34782385,19693,Music,2006,925.704963838843,0.050865397833699845
2,Cocomelon - Nursery Rhymes,159000000,160523008051,605958,917,Education,2006,1009.5786669874213,1.097713668156555
3,SET India,156000000,145638871329,410676,112933,Shows,2006,933.5825085192307,-0.03585656666974111
4,MrBeast,155000000,26294817807,98649236,738,Entertainment,2012,169.6439858516129,0.3682946839412337
6,â¿ Kids Diana Show,111000000,91725394141,1192865,1092,People&Blogs,2015,826.3549021711711,0.7402969231068015
7,PewDiePie,111000000,29002537431,2512577,4711,Gaming,2010,261.284121,0.1714734475140664
8,Like Nastya,105000000,89816604437,667615,794,People&Blogs,2016,855.3962327333334,0.7402969231068015
9,Vlad and Niki,97300000,75948855232,1867904,558,Entertainment,2018,780.5637742240493,0.3682946839412337
10,Zee Music Company,95200000,56702193364,2917701,8291,Music,2014,595.6112748319327,0.050865397833699845
11,WWE,95000000,76322175114,96198,68991,Sports,2007,803.3913169894737,0.15890168118858608
13,BLACKPINK,88600000,31316369572,2736089,524,People&Blogs,2016,353.4578958465011,0.7402969231068015
14,Goldmines,85300000,23457377036,251473,6007,Film&Animation,2012,274.9985584525205,0.5261173000667103
15,Sony SAB,81100000,98011756778,1338360,68870,Shows,2007,1208.5296766707768,-0.03585656666974111
16,5-Minute Crafts,79900000,26046189918,17632360,6240,Howto&Style,2016,325.98485504380477,0.024133821284519068
18,BANGTANTV,74800000,20396469973,694148,2208,Music,2012,272.68007985294116,0.050865397833699845
19,Justin Bieber,71400000,30347836580,1151663,249,Music,2007,425.0397280112045,0.050865397833699845
20,HYBE LABELS,70700000,27958963417,7525554,1241,Music,2008,395.4591713861386,0.050865397833699845
21,Zee TV,69000000,71040225517,1473085,125589,Entertainment,2005,1029.5684857536232,0.3682946839412337
22,Pinkfong Baby Shark - Kids' Songs & Stories,67300000,38109482261,57615,2769,Education,2011,566.2627379049035,1.097713668156555
23,Canal KondZilla,66500000,37489728391,585786,2555,Music,2012,563.755314150376,0.050865397833699845
24,Shemaroo Filmi Gaane,65000000,28266687676,645940,8360,Music,2010,434.8721180923077,0.050865397833699845
25,ChuChu TV Nursery Rhymes & Kids Songs,64800000,44928086588,12559328,599,Education,2013,693.3346695679012,1.097713668156555
26,Colors TV,62800000,59652313218,956312,109773,Shows,2008,949.8775990127389,-0.03585656666974111
27,T-Series Bhakti Sagar,60000000,28900294325,451167,25689,Music,2011,481.67157208333333,0.050865397833699845
28,Dude Perfect,59400000,16046422265,5053591,381,Sports,2009,270.14178897306397,0.15890168118858608
29,Movieclips,59300000,59062223379,16754,38849,Film&Animation,2006,995.9902762057336,0.5261173000667103
30,Tips Official,58400000,32730595953,1988243,4531,Music,2007,560.4554101541096,0.050865397833699845
31,Wave Music,57400000,40290445139,5074232,19367,Music,2014,701.9241313414634,0.050865397833699845
32,El Reino Infantil,57400000,56270419948,468263,1459,Music,2011,980.3209050174216,0.050865397833699845
33,Aaj Tak,56900000,24632385676,175671,266855,News&Politics,2009,432.9066023901582,-0.00793467772677302
34,Sony Music India,56800000,28446037431,1296916,3656,Music,2009,500.8105181514085,0.050865397833699845
35,EminemMusic,56400000,26617164569,1073340,140,Music,2007,471.9355420035461,0.050865397833699845
36,Marshmello,56300000,14510235957,516750,429,Entertainment,2015,257.73065642984017,0.3682946839412337
37,YRF,53700000,34467864307,643985,3621,Film&Animation,2006,641.8596705214153,0.5261173000667103
38,LooLoo Kids - Nursery Rhymes and Children's Songs,53700000,32006385788,6665278,675,Music,2014,596.0220817132216,0.050865397833699845
39,Ed Sheeran,53300000,29989600120,2256070,348,Music,2006,562.6566626641651,0.050865397833699845
40,Ariana Grande,52600000,23764980181,820462,147,Music,2007,451.80570686311785,0.050865397833699845
41,Taylor Swift,51800000,29069241210,1330595,212,Music,2006,561.1822627413128,0.050865397833699845
42,BillionSurpriseToys - English Kids Songs & Cartoon,51700000,9574889563,2349867,777,Education,2013,185.2009586653772,1.097713668156555
43,Infobells - Hindi,51500000,29540427978,15863077,556,Education,2014,573.600543262136,1.097713668156555
