Unnamed: 0,name,subscribers,view_count,view_mean,video_count,category,youtube_since,view_ratio,coef_subscribers_viewmean
0,T-Series,242000000,224020601249,11375646.232112933,19693,Music,2006,925.704963838843,0.050865397833699755
2,Cocomelon - Nursery Rhymes,159000000,160523008051,175052353.3816794,917,Education,2006,1009.5786669874213,1.097713668156555
3,SET India,156000000,145638871329,1289604.2018630516,112933,Shows,2006,933.5825085192307,-0.03585656666974111
4,MrBeast,155000000,26294817807,35629834.42682927,738,Entertainment,2012,169.6439858516129,0.3682946839412334
6,â¿ Kids Diana Show,111000000,91725394141,83997613.68223444,1092,People&Blogs,2015,826.3549021711711,0.7402969231068015
7,PewDiePie,111000000,29002537431,6156344.179791976,4711,Gaming,2010,261.284121,0.17147344751406637
8,Like Nastya,105000000,89816604437,113119149.1649874,794,People&Blogs,2016,855.3962327333334,0.7402969231068015
9,Vlad and Niki,97300000,75948855232,136109059.55555555,558,Entertainment,2018,780.5637742240493,0.3682946839412334
10,Zee Music Company,95200000,56702193364,6839005.350862381,8291,Music,2014,595.6112748319327,0.050865397833699755
11,WWE,95000000,76322175114,1106262.7750576162,68991,Sports,2007,803.3913169894737,0.15890168118858602
13,BLACKPINK,88600000,31316369572,59764064.06870229,524,People&Blogs,2016,353.4578958465011,0.7402969231068015
14,Goldmines,85300000,23457377036,3905006.9978358583,6007,Film&Animation,2012,274.9985584525205,0.5261173000667103
15,Sony SAB,81100000,98011756778,1423141.5242921447,68870,Shows,2007,1208.5296766707768,-0.03585656666974111
16,5-Minute Crafts,79900000,26046189918,4174068.8971153847,6240,Howto&Style,2016,325.98485504380477,0.02413382128451906
18,BANGTANTV,74800000,20396469973,9237531.69067029,2208,Music,2012,272.68007985294116,0.050865397833699755
19,Justin Bieber,71400000,30347836580,121878861.76706827,249,Music,2007,425.0397280112045,0.050865397833699755
20,HYBE LABELS,70700000,27958963417,22529382.28605963,1241,Music,2008,395.4591713861386,0.050865397833699755
21,Zee TV,69000000,71040225517,565656.4310329726,125589,Entertainment,2005,1029.5684857536232,0.3682946839412334
22,Pinkfong Baby Shark - Kids' Songs & Stories,67300000,38109482261,13762904.391838208,2769,Education,2011,566.2627379049035,1.097713668156555
23,Canal KondZilla,66500000,37489728391,14673083.518982388,2555,Music,2012,563.755314150376,0.050865397833699755
24,Shemaroo Filmi Gaane,65000000,28266687676,3381182.7363636363,8360,Music,2010,434.8721180923077,0.050865397833699755
25,ChuChu TV Nursery Rhymes & Kids Songs,64800000,44928086588,75005152.9015025,599,Education,2013,693.3346695679012,1.097713668156555
26,Colors TV,62800000,59652313218,543415.1678281545,109773,Shows,2008,949.8775990127389,-0.03585656666974111
27,T-Series Bhakti Sagar,60000000,28900294325,1125006.591342598,25689,Music,2011,481.67157208333333,0.050865397833699755
28,Dude Perfect,59400000,16046422265,42116593.87139107,381,Sports,2009,270.14178897306397,0.15890168118858602
29,Movieclips,59300000,59062223379,1520302.2826584983,38849,Film&Animation,2006,995.9902762057336,0.5261173000667103
30,Tips Official,58400000,32730595953,7223702.483557713,4531,Music,2007,560.4554101541096,0.050865397833699755
31,Wave Music,57400000,40290445139,2080365.8356482678,19367,Music,2014,701.9241313414634,0.050865397833699755
32,El Reino Infantil,57400000,56270419948,38567799.82727896,1459,Music,2011,980.3209050174216,0.050865397833699755
33,Aaj Tak,56900000,24632385676,92306.2549924116,266855,News&Politics,2009,432.9066023901582,-0.00793467772677302
34,Sony Music India,56800000,28446037431,7780644.811542669,3656,Music,2009,500.8105181514085,0.050865397833699755
35,EminemMusic,56400000,26617164569,190122604.06428573,140,Music,2007,471.9355420035461,0.050865397833699755
36,Marshmello,56300000,14510235957,33823393.83916084,429,Entertainment,2015,257.73065642984017,0.3682946839412334
37,YRF,53700000,34467864307,9518879.952223143,3621,Film&Animation,2006,641.8596705214153,0.5261173000667103
38,LooLoo Kids - Nursery Rhymes and Children's Songs,53700000,32006385788,47416867.83407407,675,Music,2014,596.0220817132216,0.050865397833699755
39,Ed Sheeran,53300000,29989600120,86177011.83908045,348,Music,2006,562.6566626641651,0.050865397833699755
40,Ariana Grande,52600000,23764980181,161666531.84353742,147,Music,2007,451.80570686311785,0.050865397833699755
41,Taylor Swift,51800000,29069241210,137119062.31132075,212,Music,2006,561.1822627413128,0.050865397833699755
42,BillionSurpriseToys - English Kids Songs & Cartoon,51700000,9574889563,12322895.19047619,777,Education,2013,185.2009586653772,1.097713668156555
43,Infobells - Hindi,51500000,29540427978,53130266.147482015,556,Education,2014,573.600543262136,1.097713668156555
44,JuegaGerman,47900000,14537888702,7108992.030317849,2045,Gaming,2013,303.50498334029226,0.17147344751406637
45,Billie Eilish,47700000,13393313149,248024317.57407406,54,Music,2013,280.7822463102725,0.050865397833699755
46,Badabun,46700000,19335428358,1089319.9074929578,17750,Entertainment,2014,414.0348684796574,0.3682946839412334
47,Shemaroo,46400000,22058707080,1990858.0397111913,11080,Entertainment,2007,475.4031698275862,0.3682946839412334
48,Get Movies,46400000,30375500140,9283465.812958436,3272,Entertainment,2006,654.6443995689655,0.3682946839412334
49,SonyMusicIndiaVEVO,46000000,26730373898,7894380.950383934,3386,Music,2009,581.0950847391305,0.050865397833699755
50,Fernanfloo,45900000,10273268142,18919462.508287292,543,Gaming,2011,223.81847803921568,0.17147344751406637
51,Bad Bunny,45900000,30040599241,231081532.62307692,130,Music,2014,654.4792862962963,0.050865397833699755
52,A4,45500000,22186608439,29269931.97757256,758,Gaming,2014,487.6177678901099,0.17147344751406637
53,Felipe Neto,45000000,16450334457,3888048.7962656585,4231,Entertainment,2006,365.5629879333333,0.3682946839412334
54,Voot Kids,44600000,20914468455,4737138.94790487,4415,Entertainment,2016,468.93427029147983,0.3682946839412334
55,BRIGHT SIDE,44500000,10670205203,1810964.9020706043,5892,Howto&Style,2017,239.7798922022472,0.02413382128451906
56,VocÃª Sabia?,44500000,7771623704,5116276.30283081,1519,Entertainment,2013,174.6432293033708,0.3682946839412334
57,Katy Perry,44100000,25232952982,206827483.45901638,122,Music,2008,572.1758045804988,0.050865397833699755
58,whinderssonnunes,44100000,4235926598,7992314.335849057,530,Comedy,2013,96.05275732426304,0.6820464845369754
59,ABS-CBN Entertainment,43700000,49913719449,262452.3848155977,190182,People&Blogs,2008,1142.1903764073227,0.7402969231068015
61,Alan Walker,43300000,12696337204,32388615.31632653,392,Music,2012,293.2179492840647,0.050865397833699755
62,Shakira,42600000,27014661576,85760830.4,315,People&Blogs,2005,634.1469853521127,0.7402969231068015
63,ÐÐ°ÑÐ° Ð¸ ÐÐµÐ´Ð²ÐµÐ´Ñ,42600000,36024571736,25441081.73446328,1416,Film&Animation,2011,845.6472238497653,0.5261173000667103
64,Speed Records,42300000,26534462432,2446925.7130210255,10844,Music,2012,627.2922560756501,0.050865397833699755
65,Like Nastya Show,42300000,19446680203,32249884.250414595,603,Entertainment,2017,459.7323925059102,0.3682946839412334
66,HAR PAL GEO,41800000,38362753853,405740.3897726071,94550,Entertainment,2008,917.7692309330143,0.3682946839412334
67,ARY Digital HD,41800000,36166225890,352167.8146179014,102696,Entertainment,2016,865.2207150717703,0.3682946839412334
69,Masha and The Bear,40800000,23629767202,20511950.696180556,1152,Shows,2014,579.1609608333333,-0.03585656666974111
70,Ishtar Music,40800000,17268210376,3749068.687798524,4606,Trailers,2005,423.24045039215684,0.0
71,Kimberly Loaiza,40700000,5401982774,19292795.62142857,280,People&Blogs,2016,132.7268494840295,0.7402969231068015
72,Little Baby Bum - Nursery Rhymes & Kids Songs,40800000,39271007609,16452035.026811898,2387,Education,2011,962.5246962990196,1.097713668156555
73,Luisito Comunica,40400000,8527426368,6805607.636073424,1253,Comedy,2012,211.0749100990099,0.6820464845369754
74,elrubiusOMG,40400000,7643446738,10720121.652173912,713,Gaming,2011,189.19422618811882,0.17147344751406637
75,Toys and Colors,39400000,46171493860,47895740.5186722,964,Entertainment,2016,1171.865326395939,0.3682946839412334
76,shfa2 - Ø´ÙØ§,39200000,23506153520,15194669.372979961,1547,People&Blogs,2017,599.6467734693878,0.7402969231068015
77,LUCCAS NETO - LUCCAS TOON,39100000,22027494184,9868949.007168459,2232,People&Blogs,2014,563.3630226086957,0.7402969231068015
78,XXXTENTACION,39000000,10415721736,78906982.84848484,132,Music,2015,267.0697881025641,0.050865397833699755
79,WorkpointOfficial,38800000,35839859233,504168.96525384387,71087,Entertainment,2012,923.7077121907216,0.3682946839412334
80,GR6 EXPLODE,38700000,25564564961,6101328.152983294,4190,Music,2014,660.5830739276486,0.050865397833699755
